Project;Manager;Category;Key;CommitHash;IsMergeCommit;Author;AuthorDate;Committer;CommitterDate;CommitMessageTopWords;FileName;FilePath;ChangeType;IsSrcFile;IsTestFile;AddLines;DelLines;NoMethods;LoC;CyC;NoTokens
HDFS;Apache Hadoop Committee;big-data;HDFS-3268;258da66cc7c74e48fe4224ac8552bf8ce8c68e2c;0;Todd Lipcon;2012-04-16 19:08:29;Todd Lipcon;2012-04-16 19:08:29;mishandles:1 token:1 service:1 incompatible:1 ha:1 contributed:1 sharp:1 git:1 id:1 https:1 apache:1 common:1 trunk:1;TestDelegationTokensWithHA.java;hadoop-hdfs-project/hadoop-hdfs/src/test/java/org/apache/hadoop/hdfs/server/namenode/ha/TestDelegationTokensWithHA.java;MODIFY;1;1;16;0;8;200.0;13.0;1501.0
HDFS;Apache Hadoop Committee;big-data;HDFS-3284;574f99bd6b596c39bd1accc7a134de3f5ad96bd2;0;Todd Lipcon;2012-04-16 21:51:52;Todd Lipcon;2012-04-16 21:51:52;fails:1 secure:1 cluster:1 contributed:1 todd:1 git:1 id:1 https:1 apache:1 common:1 trunk:1;CHANGES.txt;hadoop-hdfs-project/hadoop-hdfs/CHANGES.txt;MODIFY;0;0;2;0;0;3411.0;0.0;13636.0
HDFS;Apache Hadoop Committee;big-data;HDFS-3284;574f99bd6b596c39bd1accc7a134de3f5ad96bd2;0;Todd Lipcon;2012-04-16 21:51:52;Todd Lipcon;2012-04-16 21:51:52;fails:1 secure:1 cluster:1 contributed:1 todd:1 git:1 id:1 https:1 apache:1 common:1 trunk:1;BootstrapStandby.java;hadoop-hdfs-project/hadoop-hdfs/src/main/java/org/apache/hadoop/hdfs/server/namenode/ha/BootstrapStandby.java;MODIFY;1;0;4;3;14;277.0;34.0;1922.0
HDFS;Apache Hadoop Committee;big-data;HDFS-3284;574f99bd6b596c39bd1accc7a134de3f5ad96bd2;0;Todd Lipcon;2012-04-16 21:51:52;Todd Lipcon;2012-04-16 21:51:52;fails:1 secure:1 cluster:1 contributed:1 todd:1 git:1 id:1 https:1 apache:1 common:1 trunk:1;DFSHAAdmin.java;hadoop-hdfs-project/hadoop-hdfs/src/main/java/org/apache/hadoop/hdfs/tools/DFSHAAdmin.java;MODIFY;1;0;22;11;7;74.0;13.0;485.0
HDFS;Apache Hadoop Committee;big-data;HDFS-3165;1d5861a8c45dae1f5c5ab80c037ae5795d5e651d;0;Eli Collins;2012-04-17 00:50:40;Eli Collins;2012-04-17 00:50:40;balancer:1 scripts:1 refering:1 wrong:1 path:1 daemon:1 contributed:1 k:1 git:1 id:1 https:1 apache:1 common:1 trunk:1;CHANGES.txt;hadoop-hdfs-project/hadoop-hdfs/CHANGES.txt;MODIFY;0;0;3;0;0;3414.0;0.0;13636.0
HDFS;Apache Hadoop Committee;big-data;HDFS-3165;1d5861a8c45dae1f5c5ab80c037ae5795d5e651d;0;Eli Collins;2012-04-17 00:50:40;Eli Collins;2012-04-17 00:50:40;balancer:1 scripts:1 refering:1 wrong:1 path:1 daemon:1 contributed:1 k:1 git:1 id:1 https:1 apache:1 common:1 trunk:1;start-balancer.sh;hadoop-hdfs-project/hadoop-hdfs/src/main/bin/start-balancer.sh;MODIFY;1;0;1;1;0;10.0;0.0;67.0
HDFS;Apache Hadoop Committee;big-data;HDFS-3165;1d5861a8c45dae1f5c5ab80c037ae5795d5e651d;0;Eli Collins;2012-04-17 00:50:40;Eli Collins;2012-04-17 00:50:40;balancer:1 scripts:1 refering:1 wrong:1 path:1 daemon:1 contributed:1 k:1 git:1 id:1 https:1 apache:1 common:1 trunk:1;stop-balancer.sh;hadoop-hdfs-project/hadoop-hdfs/src/main/bin/stop-balancer.sh;MODIFY;1;0;1;1;0;10.0;0.0;65.0
HDFS;Apache Hadoop Committee;big-data;HDFS-891;0c16ec4d6e94b4429d1e69bc26c7e23bfc809e65;0;Eli Collins;2012-04-19 01:09:12;Eli Collins;2012-04-19 01:09:12;longer:1 needs:1 check:1 network:1 script:1 contributed:1 harsh:1 j:1 git:1 id:1 https:1 apache:1 common:1 trunk:1;CHANGES.txt;hadoop-hdfs-project/hadoop-hdfs/CHANGES.txt;MODIFY;0;0;3;0;0;3425.0;0.0;13698.0
HDFS;Apache Hadoop Committee;big-data;HDFS-891;0c16ec4d6e94b4429d1e69bc26c7e23bfc809e65;0;Eli Collins;2012-04-19 01:09:12;Eli Collins;2012-04-19 01:09:12;longer:1 needs:1 check:1 network:1 script:1 contributed:1 harsh:1 j:1 git:1 id:1 https:1 apache:1 common:1 trunk:1;DataNode.java;hadoop-hdfs-project/hadoop-hdfs/src/main/java/org/apache/hadoop/hdfs/server/datanode/DataNode.java;MODIFY;1;0;0;5;116;1515.0;300.0;10570.0
HDFS;Apache Hadoop Committee;big-data;HDFS-3305;49ed783a3a68726264c68cdc6c958ba9ad26c2c9;0;Aaron Myers;2012-04-19 20:43:03;Aaron Myers;2012-04-19 20:43:03;consider:1 valid:1 secure:1 ha:1 setup:1 contributed:1 aaron:1 git:1 id:1 https:1 apache:1 common:1 trunk:1;CHANGES.txt;hadoop-hdfs-project/hadoop-hdfs/CHANGES.txt;MODIFY;0;0;3;0;0;3433.0;0.0;13748.0
