Project;Manager;Category;Key;CommitHash;IsMergeCommit;Author;AuthorDate;Committer;CommitterDate;CommitMessageTopWords;FileName;FilePath;ChangeType;IsSrcFile;IsTestFile;AddLines;DelLines;NoMethods;LoC;CyC;NoTokens
HADOOP;Apache Hadoop Committee;big-data;HADOOP-6123;638a21106714eab7de9ebdaf4dd574cfb34b2d3c;0;Tsz-wo Sze;2009-07-27 18:34:57;Tsz-wo Sze;2009-07-27 18:34:57;add:1 missing:1 contributed:1 git:1 id:1 https:1 apache:1 common:1 trunk:1;CHANGES.txt;CHANGES.txt;MODIFY;0;0;3;0;0;7209.0;0.0;37175.0
HADOOP;Apache Hadoop Committee;big-data;HADOOP-6123;638a21106714eab7de9ebdaf4dd574cfb34b2d3c;0;Tsz-wo Sze;2009-07-27 18:34:57;Tsz-wo Sze;2009-07-27 18:34:57;add:1 missing:1 contributed:1 git:1 id:1 https:1 apache:1 common:1 trunk:1;hadoop-config.sh;bin/hadoop-config.sh;MODIFY;1;0;12;0;0;176.0;0.0;1024.0
HADOOP;Apache Hadoop Committee;big-data;HADOOP-6172;e5ea0ce4a6a05bf3585f71ad108a3bc4bfe35ef1;0;Tsz-wo Sze;2009-07-31 21:37:23;Tsz-wo Sze;2009-07-31 21:37:23;build:2 fix:1 jar:1 file:1 names:1 include:1 part:1 source:1 list:1 contributed:1 tang:1 git:1 id:1 https:1 apache:1 common:1 trunk:1;CHANGES.txt;CHANGES.txt;MODIFY;0;0;4;1;0;7212.0;0.0;37175.0
HADOOP;Apache Hadoop Committee;big-data;HADOOP-6172;e5ea0ce4a6a05bf3585f71ad108a3bc4bfe35ef1;0;Tsz-wo Sze;2009-07-31 21:37:23;Tsz-wo Sze;2009-07-31 21:37:23;build:2 fix:1 jar:1 file:1 names:1 include:1 part:1 source:1 list:1 contributed:1 tang:1 git:1 id:1 https:1 apache:1 common:1 trunk:1;hadoop-config.sh;bin/hadoop-config.sh;MODIFY;1;0;1;1;0;176.0;0.0;1024.0
HADOOP;Apache Hadoop Committee;big-data;HADOOP-6172;e5ea0ce4a6a05bf3585f71ad108a3bc4bfe35ef1;0;Tsz-wo Sze;2009-07-31 21:37:23;Tsz-wo Sze;2009-07-31 21:37:23;build:2 fix:1 jar:1 file:1 names:1 include:1 part:1 source:1 list:1 contributed:1 tang:1 git:1 id:1 https:1 apache:1 common:1 trunk:1;build.xml;build.xml;MODIFY;0;0;1;1;0;1322.0;0.0;1313.0
HADOOP;Apache Hadoop Committee;big-data;HADOOP-6169;7be6fc4e5d1a4db76be02d221079d78c55c28c49;0;Mahadev Konar;2009-08-03 05:06:59;Mahadev Konar;2009-08-03 05:06:59;removing:1 deprecated:1 method:1 calls:1 tang:1 git:1 id:1 https:1 apache:1 common:1 trunk:1;CHANGES.txt;CHANGES.txt;MODIFY;0;0;3;1;0;7213.0;0.0;37192.0
HADOOP;Apache Hadoop Committee;big-data;HADOOP-6169;7be6fc4e5d1a4db76be02d221079d78c55c28c49;0;Mahadev Konar;2009-08-03 05:06:59;Mahadev Konar;2009-08-03 05:06:59;removing:1 deprecated:1 method:1 calls:1 tang:1 git:1 id:1 https:1 apache:1 common:1 trunk:1;BCFile.java;src/java/org/apache/hadoop/io/file/tfile/BCFile.java;MODIFY;1;0;1;1;71;539.0;95.0;3166.0
HADOOP;Apache Hadoop Committee;big-data;HADOOP-6169;7be6fc4e5d1a4db76be02d221079d78c55c28c49;0;Mahadev Konar;2009-08-03 05:06:59;Mahadev Konar;2009-08-03 05:06:59;removing:1 deprecated:1 method:1 calls:1 tang:1 git:1 id:1 https:1 apache:1 common:1 trunk:1;BoundedRangeFileInputStream.java;src/java/org/apache/hadoop/io/file/tfile/BoundedRangeFileInputStream.java;MODIFY;1;0;2;2;10;84.0;18.0;509.0
HADOOP;Apache Hadoop Committee;big-data;HADOOP-6169;7be6fc4e5d1a4db76be02d221079d78c55c28c49;0;Mahadev Konar;2009-08-03 05:06:59;Mahadev Konar;2009-08-03 05:06:59;removing:1 deprecated:1 method:1 calls:1 tang:1 git:1 id:1 https:1 apache:1 common:1 trunk:1;ByteArray.java;src/java/org/apache/hadoop/io/file/tfile/ByteArray.java;MODIFY;1;0;1;1;6;33.0;7.0;195.0
HADOOP;Apache Hadoop Committee;big-data;HADOOP-6169;7be6fc4e5d1a4db76be02d221079d78c55c28c49;0;Mahadev Konar;2009-08-03 05:06:59;Mahadev Konar;2009-08-03 05:06:59;removing:1 deprecated:1 method:1 calls:1 tang:1 git:1 id:1 https:1 apache:1 common:1 trunk:1;CompareUtils.java;src/java/org/apache/hadoop/io/file/tfile/CompareUtils.java;MODIFY;1;0;3;2;9;57.0;11.0;387.0
